class,name,name_en,Y,,X,,H
砂漠,ゴビ砂漠,Gobi,103.43,",",42.59,",",5000000
砂漠,シリア砂漠,Syrian Desert,38.8333,",",33.3333,",",5000000
砂漠,タール砂漠,Thar Desert,71.001667,",",26.984444,",",5000000
砂漠,タクラマカン砂漠,Taklamakan Desert,82.2,",",38.9,",",5000000
砂漠,カヴィール砂漠,Dasht-e Kavir,54.8271,",",34.737556,",",5000000
砂漠,ルブアルハリ砂漠,Rub' al Khali,50,",",20,",",5000000
砂漠,アタカマ砂漠,Atacama Desert,-69.25,",",-24.5,",",5000000
砂漠,グレートベースン砂漠,Great Basin Desert,-109.586445,",",37.407431,",",5000000
砂漠,コロラド砂漠,Colorado Desert,-115.032421,",",32.839231,",",5000000
砂漠,モハーヴェ砂漠,Mojave Desert,-115.475,",",35.008333,",",5000000
砂漠,カラハリ砂漠,Kalahari Desert,22,",",-23,",",5000000
砂漠,サハラ砂漠,Sahara Desert,13,",",23,",",5000000
砂漠,ナミブ砂漠,Namib,15.276389,",",-24.751944,",",5000000
砂漠,グレートビクトリア砂漠,Great Victoria Desert,129.26,",",-29.15,",",5000000
砂漠,タナミ砂漠,Tanami Desert,130,",",-20,",",5000000
メサ、ビュート,モニュメント・バレー,Monument Valley,-110.1,",",36.983333,",",5000000
ワジ,ワディ・ラム,Wadi Rum,35.419928,",",29.5765,",",10000
ワジ,アラビア半島のワジ,A_Wadi,45.136691,",",18.948828,",",5000
ワジ,サハラ砂漠東部のワジ,S_Wadi,33.686888,",",20.328322,",",5000
オアシス,敦煌,Dunhuang,94.6619,",",40.1421,",",100000
オアシス,シワ,Siwa Oasis,25.55,",",29.183333,",",100000
オアシス,Tabas,Tabas,56.924444,",",33.595833,",",100000
オアシス,Al-Ain Oasis,Al-Ain Oasis,55.762,",",24.217,",",100000
オアシス,Taghit,Taghit,-2.033333,",",30.916667,",",100000
オアシス,カシュガル,Kashgar,75.983333,",",39.466667,",",100000
塩湖,カスピ海,Caspian Sea,50.666667,",",41.666667,",",5000000
塩湖,バルハシ湖(東）,Lake Balkhash,74.333333,",",46.166667,",",5000000
塩湖,グレートソルト湖,Great Salt Lake,-112.583333,",",41.166667,",",5000000
塩湖,死海,Dead Sea,35.5,",",31.5,",",5000000
塩湖,マカディカディ塩湖,Makgadikgadi Pan,24.950833,",",-20.716667,",",5000000
塩湖,ウユニ塩湖,Uyuni,-67.423611,",",-20.059722,",",5000000