Name,Name_en,Mag,Location(USGS),Date (UTC),Time (UTC),Latitude,Longitude
チリ地震（1960年）,Valdivia Earthquake,9.5,"Bio-Bio, Chile",1960/5/22,19:11,-38.14,-73.41
アラスカ地震,"1964 Great Alaska Earthquake, Prince William Sound Earthquake, Good Friday Earthquake",9.2,Southern Alaska,1964/3/28,3:36,60.91,-147.34
スマトラ島沖地震 (2004年),"Sumatra-Andaman Islands Earthquake, 2004 Sumatra Earthquake and Tsunami, Indian Ocean Earthquake",9.1,Off the West Coast of Northern Sumatra,2004/12/26,0:58,3.3,95.98
東北地方太平洋沖地震,Tohoku Earthquake,9.1,"Near the East Coast of Honshu, Japan",2011/3/11,5:46,38.3,142.37
カムチャツカ地震,"Kamchatka, Russia",9,"Off the East Coast of the Kamchatka Peninsula, Russia",1952/11/4,16:58,52.62,159.78
チリ地震（2010年）,Maule Earthquake,8.8,"Offshore Bio-Bio, Chile",2010/2/27,6:34,-36.12,-72.9
エクアドル･コロンビア地震（1906年）,1906 Ecuador–Colombia Earthquake,8.8,Near the Coast of Ecuador,1906/1/31,15:36,0.96,-79.37
アリューシャン地震（1965年）,Rat Islands Earthquake,8.7,"Rat Islands, Aleutian Islands, Alaska",1965/2/4,5:01,51.25,178.72
アッサム・チベット地震,"Assam, Tibet",8.6,Eastern Xizang-India border region,1950/8/15,14:09,28.36,96.45
スマトラ島沖地震(2012年),,8.6,Off the West Coast of Northern Sumatra,2012/4/11,8:39,2.33,93.06
スマトラ島沖地震 (2005年）,Nias Earthquake,8.6,"Northern Sumatra, Indonesia",2005/3/28,16:10,2.09,97.11
アリューシャン地震 (1957年),,8.6,"Andrean of Islands, Aleutian Islands, Alaska",1957/3/9,14:23,51.5,-175.63
アリューシャン地震 (1946年),"Unimak Island Earthquake, Alaska",8.6,South of Alaska,1946/4/1,12:29,53.49,-162.83
バンダ海東部を震源とする地震,,8.5,Banda Sea,1938/2/1,19:04,-5.05,131.61
チリ沖地震（1922年）,Chile-Argentina Border,8.5,"Atacama, Chile",1922/11/11,4:33,-28.29,-69.85
エトロフ島沖地震,,8.5,Kuril Islands,1963/10/13,5:18,44.87,149.48
カムチャッカ東海岸沖を震源とする地震,"Kamchatka, Russia",8.4,"Near the East Coast of Kamchatka Peninsula, Russia",1923/2/3,16:02,54.49,160.47
スマトラ島沖地震 (2007年),,8.4,"Southern Sumatra, Indonesia",2007/9/12,11:10,-4.44,101.37
ペルー地震 (2001年) ,"Arequipa, Peru Earthquake",8.4,Near the Coast of Southern Peru,2001/6/23,20:33,-16.27,-73.64